campaign_id,domain,dns_status,verified_via,verified_date
103,fonte-finvalis-official.com,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
104,kapitalonix.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
105,kapitalonix.net,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
106,klendixio-de.com,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
107,klendixio.pro,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
108,chain-lotemax-pro.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
109,segno-revenix.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
110,transazi-rendezza.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
111,snap-herplex-hub.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
112,altario-veyron.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
113,altario-veyron-br.com,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
114,flussovalutezza.com,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
115,flusso-valutezza.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
116,ranteskog.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
117,titrance.net,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
118,succesdirecticiu.com,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
119,sukces-zarzadown.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
120,obligenciere.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
